APURAÇÃO;PRODUTO;VENDEDOR;SUPERVISOR;CANAL_VENDAS;META
31/01/2020;Café Bronze;Annalise Keating;Josvaldo Ferreira;Internet;4100
;;;;Lojas Afiliadas;3600
;;;;Lojas Próprias;5800
;;Dexter Morgan;Josvaldo Ferreira;Internet;4100
;;;;Lojas Afiliadas;3600
;;;;Lojas Próprias;5800
;;Elliot Alderson;Clementina Silva;Internet;4100
;;;;Lojas Afiliadas;3600
;;;;Lojas Próprias;5800
;;Gregory House;Clementina Silva;Internet;4100
;;;;Lojas Afiliadas;3600
;;;;Lojas Próprias;5800
;;Ítalo Teotônio;Carleta Joaquina;Internet;4100
;;;;Lojas Afiliadas;3600
;;;;Lojas Próprias;5800
;;Jack Bauer;Teobaldo Souza;Internet;4100
;;;;Lojas Afiliadas;3600
;;;;Lojas Próprias;5800
;;Michael Scofield;Astolfo Péricles;Internet;4100
;;;;Lojas Afiliadas;3600
;;;;Lojas Próprias;5800
;;Norma Bates;Teobaldo Souza;Internet;4100
;;;;Lojas Afiliadas;3600
;;;;Lojas Próprias;5800
;;Randal Pearson;Josvaldo Ferreira;Internet;4100
;;;;Lojas Afiliadas;3600
;;;;Lojas Próprias;5800
;;Shaun Murphy;Clementina Silva;Internet;4100
;;;;Lojas Afiliadas;3600
;;;;Lojas Próprias;5800
;;Thomas Shelby;Carleta Joaquina;Internet;4100
;;;;Lojas Afiliadas;3600
;;;;Lojas Próprias;5800
;;Walter White;Carleta Joaquina;Internet;4100
;;;;Lojas Afiliadas;3600
;;;;Lojas Próprias;5800
;Café Diamante;Annalise Keating;Josvaldo Ferreira;Internet;5400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8300
;;Dexter Morgan;Josvaldo Ferreira;Internet;5400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8300
;;Elliot Alderson;Clementina Silva;Internet;5400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8300
;;Gregory House;Clementina Silva;Internet;5400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8300
;;Ítalo Teotônio;Carleta Joaquina;Internet;5400
;;;;Lojas Afiliadas;7000
